Scenario,Agent,Mean Call to Admission time (minutes)
Tuesday,Greedy Dispatch,23.18333333
Tuesday,Spatiotemporal,20.68333333
Tuesday,Zone Balancing,22.18333333
Tuesday,Stochastic,75.68333333
Thursday,Greedy Dispatch,15.05482456
Thursday,Spatiotemporal,14.39692982
Thursday,Zone Balancing,15.52850877
Thursday,Stochastic,83.50219298
Friday,Greedy Dispatch,20.44054983
Friday,Spatiotemporal,20.17250859
Friday,Zone Balancing,20.07972509
Friday,Stochastic,76.1338488
Saturday,Greedy Dispatch,21.17383376
Saturday,Spatiotemporal,20.81505513
Saturday,Zone Balancing,20.46899915
Saturday,Stochastic,75.85831213
Sunday,Greedy Dispatch,19.07083333
Sunday,Spatiotemporal,18.90524892
Sunday,Zone Balancing,19.233171
Sunday,Stochastic,74.92148268
